id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,zip_code,school_type,school_level,teacher_salary,student_support,staff_support,admin_salary
470108000347.0,-0.5258624184673818,0.4224964210238945,0.5914817492437278,-0.22171464295114401,21.7,0.6667730161000894,2016-2017,TN,38024,Regular School,High,-0.18437456609339456,-0.822840574288249,-0.49771914987381605,0.42830220713735406
370472001892.0,0.5546340109209417,1.288954730456436,0.020599310300150435,-0.3098786850321,22.5702075702076,-0.5768513524865069,2016-2017,NC,27609,Regular School,High,-0.15415606231355178,-1.0116889074999766,-0.8969889924689916,-0.9032722392063758
531011001690.0,-0.48584715281913116,0.4365736019232908,-0.27244033611937796,-0.4046028003863782,18.956043956044,1.0282683512800548,2016-2017,WA,98908,Regular School,High,0.5904588641589849,0.1809746984617856,1.2888442136029017,-0.49916258136076624
210582001374.0,0.38928239220238886,-1.0680599095134058,1.142028782594305,-0.4544092165761884,18.5,0.06196497710674817,2016-2017,KY,42409,Regular School,High,-1.1684130225139164,-0.2139983139021746,0.1181038276882344,0.13681327360937337
120039004340.0,-0.28558042043442877,1.1371021059716158,0.780774323944456,0.42313638142581955,18.3699633699634,0.7538933969529973,2016-2017,FL,33196,Regular School,High,-1.0762078443138832,-0.9098180400576882,-0.118751163681785,-0.8966474907171035
130228002172.0,0.23639432723326956,1.7346500827843143,1.0904724041134002,1.9320368021023508,24.3040293040293,-1.3822031588193877,2016-2017,GA,30022,Regular School,High,-0.07822238614881859,0.08089103922023912,0.8354360872660074,-0.6912802875496625
292280001293.0,0.013943696184632932,-0.02323540908811748,-0.4363336947409614,-0.1257787943170801,20.0,-0.09149489442233875,2016-2017,MO,64119,Regular School,High,-0.21846723702449924,0.04514687520540109,0.8692725146045815,-0.3136696236611422
482985003360.0,-0.7705714314032812,-0.48950146840202957,0.15647541896969636,-0.7302665653053216,22.9365079365079,-0.7358741222389836,2016-2017,TX,75069,Regular School,High,0.1441548083336143,-0.8127130611507115,-0.2574805157699392,-0.7575277724423854
390440000963.0,-1.1378428496205073,-0.4580924314902081,1.003627914846558,0.5165234117817136,21.0,-0.047049040562326616,2016-2017,OH,45005,Regular School,High,0.3270154978731758,-0.3796129405042575,-0.9714291326138548,-0.26398400999160004
550702000770.0,1.9568878180542193,-0.8402534831455211,-1.367613369056809,-0.652632067586641,21.3,0.046471767114554405,2016-2017,WI,53548,Regular School,High,0.22086331792859984,0.11067784256593748,0.7779141607904313,-0.6912802875496625
421145004571.0,-0.549271870494484,0.10597050159198823,-0.11123643460100886,-0.055748967526709416,20.5677655677656,0.11032977450332274,2016-2017,PA,17331,Regular School,High,0.43084317752699464,0.04693408340614299,0.18577668236538278,0.5839837966352528
420423001029.0,0.08126753690904182,-1.0543868115659274,-0.0596607880802936,0.3576610004111949,19.0537240537241,0.3457381842206762,2016-2017,PA,19057,Regular School,High,1.1165707633003503,0.35195094966609414,0.43616624467083187,-0.4428522192019518
483486006896.0,0.7748584591801355,-1.274443449164277,-0.4040392875397975,-0.15201908741036937,21.031746031746,1.964479766033356,2016-2017,TX,78577,Regular School,High,-0.03715621434544248,-0.35578349782769875,0.8692725146045815,-0.8602113740261059
341812003672.0,-0.5911382331897027,0.5923358246189686,1.0968317474771436,1.9230114783632577,20.2747252747253,-0.2727889574748822,2016-2017,NJ,07095,Regular School,High,1.610139658371116,1.0930466169070692,-0.7819451395178393,-0.4660388389144048
120087003862.0,2.4402312072944774,-1.522975485819246,-1.927270200880971,-1.128717894823803,17.5641025641026,1.2256063958661882,2016-2017,FL,33610,Regular School,High,-0.9723801646600644,-1.0146675878345464,0.4767699574771209,-0.8833979937385589
130282003414.0,-0.44838849575827294,0.8757403239940441,0.6557811684876035,1.0170110402393868,20.7875457875458,-0.8484294558302576,2016-2017,GA,30252,Regular School,High,-0.4981821053456082,-0.714416610109907,-0.0679965226739237,-0.8105257603565638
292928002875.0,-1.1705591017934343,-0.8963158844483899,-2.7938863821020665,-1.1866303888163172,15.4,2.3691037315493664,2016-2017,MO,63120,Regular School,High,-0.018560212019385378,1.5940606491817155,0.8151342308628629,1.1239007985109442
262556006206.0,1.1106773534407042,-0.35571009970933776,-0.44649186852093836,-0.8160071408267062,19.5,0.3430863597078123,2016-2017,MI,49120,Regular School,High,-1.1010025140819593,-0.22889171557502377,0.3684933899936835,-0.7045297845282071
220042000294.0,1.3212711539014066,-1.4475346432955092,-0.5875948364937198,-1.088187505810283,18.1,0.9612042309967496,2016-2017,LA,71343,Regular School,High,-0.7089367983742554,0.5926283206993369,2.0298619723176765,0.39186609044635645
130063000285.0,-0.09112519925417996,0.6801092166349841,-1.5895936582887218,-1.0613204541240013,19.3223443223443,0.6220837945993896,2016-2017,GA,30458,Regular School,High,-0.3633610884816942,-0.6935658477679181,-0.4943355071399586,-0.8999598649617396
171932002222.0,0.7117406248046724,2.382485252609664,0.3709086551682386,3.1802474320001695,26.7,-1.4868251751947752,2016-2017,IL,60521,Regular School,High,4.1453946421569015,2.797447504347929,0.9403290120155874,2.1706110598159656
483209003561.0,-1.0349571365130716,1.9233239589613007,-0.001707507850030425,-0.2540971702557605,21.3980463980464,0.7824011051214729,2016-2017,TX,75963,Regular School,High,-0.544672111160751,-0.5654825933814152,0.0842674003496602,-0.5355986980517639
130261001162.0,-0.8322114475599309,-0.4215014079141427,0.10369065051244478,-0.6459048586885207,18.7362637362637,1.037223271519037,2016-2017,GA,30507,Regular School,High,-0.416049761738856,-0.6834383346303807,0.14178932682523632,-0.9695197240990987
